{'loss': 0.49, 'learning_rate': 2.900107411385607e-06, 'epoch': 0.06}
{'loss': 0.5348, 'learning_rate': 2.9215896885069822e-06, 'epoch': 0.06}
{'loss': 0.5839, 'learning_rate': 2.9430719656283567e-06, 'epoch': 0.06}
{'loss': 0.5232, 'learning_rate': 2.9645542427497315e-06, 'epoch': 0.06}
{'loss': 0.5354, 'learning_rate': 2.9860365198711068e-06, 'epoch': 0.06}
{'loss': 0.486, 'learning_rate': 3.007518796992481e-06, 'epoch': 0.06}
{'loss': 0.6134, 'learning_rate': 3.0290010741138565e-06, 'epoch': 0.06}
{'loss': 0.408, 'learning_rate': 3.050483351235231e-06, 'epoch': 0.06}
{'loss': 0.4835, 'learning_rate': 3.071965628356606e-06, 'epoch': 0.06}
{'loss': 0.5415, 'learning_rate': 3.093447905477981e-06, 'epoch': 0.06}
{'loss': 0.4598, 'learning_rate': 3.1149301825993555e-06, 'epoch': 0.06}
{'loss': 0.6408, 'learning_rate': 3.1364124597207307e-06, 'epoch': 0.06}
{'loss': 0.5336, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.06}
{'loss': 0.4823, 'learning_rate': 3.1793770139634804e-06, 'epoch': 0.06}
{'loss': 0.4334, 'learning_rate': 3.2008592910848553e-06, 'epoch': 0.06}
{'loss': 0.5351, 'learning_rate': 3.22234156820623e-06, 'epoch': 0.06}
Step 300 - Original loss: 0.4118, Custom loss: 0.3457, Total loss: 0.7575
Step 300 - Original loss: 0.2712, Custom loss: 0.1973, Total loss: 0.4685
{'loss': 0.4815, 'learning_rate': 3.243823845327605e-06, 'epoch': 0.06}
{'loss': 0.4535, 'learning_rate': 3.2653061224489794e-06, 'epoch': 0.07}
{'loss': 0.4778, 'learning_rate': 3.2867883995703547e-06, 'epoch': 0.07}
{'loss': 0.5215, 'learning_rate': 3.3082706766917295e-06, 'epoch': 0.07}
{'loss': 0.4448, 'learning_rate': 3.3297529538131044e-06, 'epoch': 0.07}
{'loss': 0.4664, 'learning_rate': 3.3512352309344792e-06, 'epoch': 0.07}
{'loss': 0.4211, 'learning_rate': 3.3727175080558545e-06, 'epoch': 0.07}
{'loss': 0.4611, 'learning_rate': 3.394199785177229e-06, 'epoch': 0.07}
{'loss': 0.443, 'learning_rate': 3.415682062298604e-06, 'epoch': 0.07}
{'loss': 0.4864, 'learning_rate': 3.4371643394199786e-06, 'epoch': 0.07}
{'loss': 0.4274, 'learning_rate': 3.4586466165413535e-06, 'epoch': 0.07}
{'loss': 0.4317, 'learning_rate': 3.4801288936627288e-06, 'epoch': 0.07}
{'loss': 0.4332, 'learning_rate': 3.501611170784103e-06, 'epoch': 0.07}
{'loss': 0.4969, 'learning_rate': 3.5230934479054785e-06, 'epoch': 0.07}
{'loss': 0.4482, 'learning_rate': 3.544575725026853e-06, 'epoch': 0.07}
{'loss': 0.5599, 'learning_rate': 3.5660580021482278e-06, 'epoch': 0.07}
{'loss': 0.4791, 'learning_rate': 3.587540279269603e-06, 'epoch': 0.07}
{'loss': 0.4779, 'learning_rate': 3.6090225563909775e-06, 'epoch': 0.07}
{'loss': 0.5189, 'learning_rate': 3.6305048335123527e-06, 'epoch': 0.07}
{'loss': 0.5532, 'learning_rate': 3.651987110633727e-06, 'epoch': 0.07}
{'loss': 0.4894, 'learning_rate': 3.6734693877551024e-06, 'epoch': 0.07}
{'loss': 0.6315, 'learning_rate': 3.6949516648764773e-06, 'epoch': 0.07}
{'loss': 0.5851, 'learning_rate': 3.7164339419978526e-06, 'epoch': 0.07}
{'loss': 0.5543, 'learning_rate': 3.737916219119227e-06, 'epoch': 0.07}
{'loss': 0.5457, 'learning_rate': 3.7593984962406014e-06, 'epoch': 0.08}
{'loss': 0.4979, 'learning_rate': 3.7808807733619767e-06, 'epoch': 0.08}
{'loss': 0.6142, 'learning_rate': 3.8023630504833515e-06, 'epoch': 0.08}
{'loss': 0.5531, 'learning_rate': 3.823845327604727e-06, 'epoch': 0.08}
{'loss': 0.4566, 'learning_rate': 3.845327604726101e-06, 'epoch': 0.08}
{'loss': 0.5061, 'learning_rate': 3.8668098818474765e-06, 'epoch': 0.08}
{'loss': 0.4962, 'learning_rate': 3.888292158968851e-06, 'epoch': 0.08}
{'loss': 0.5335, 'learning_rate': 3.909774436090225e-06, 'epoch': 0.08}
{'loss': 0.4535, 'learning_rate': 3.931256713211601e-06, 'epoch': 0.08}
{'loss': 0.5237, 'learning_rate': 3.952738990332975e-06, 'epoch': 0.08}
{'loss': 0.5051, 'learning_rate': 3.97422126745435e-06, 'epoch': 0.08}
{'loss': 0.4527, 'learning_rate': 3.995703544575726e-06, 'epoch': 0.08}
{'loss': 0.5332, 'learning_rate': 4.017185821697101e-06, 'epoch': 0.08}
{'loss': 0.4699, 'learning_rate': 4.038668098818475e-06, 'epoch': 0.08}
{'loss': 0.4481, 'learning_rate': 4.06015037593985e-06, 'epoch': 0.08}
{'loss': 0.5368, 'learning_rate': 4.081632653061225e-06, 'epoch': 0.08}
{'loss': 0.4139, 'learning_rate': 4.1031149301825994e-06, 'epoch': 0.08}
{'loss': 0.5725, 'learning_rate': 4.124597207303975e-06, 'epoch': 0.08}
{'loss': 0.5509, 'learning_rate': 4.146079484425349e-06, 'epoch': 0.08}
{'loss': 0.6152, 'learning_rate': 4.167561761546724e-06, 'epoch': 0.08}
{'loss': 0.4255, 'learning_rate': 4.189044038668099e-06, 'epoch': 0.08}
{'loss': 0.4599, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.08}
{'loss': 0.4706, 'learning_rate': 4.232008592910849e-06, 'epoch': 0.08}
{'loss': 0.5146, 'learning_rate': 4.253490870032224e-06, 'epoch': 0.09}
{'loss': 0.5708, 'learning_rate': 4.274973147153599e-06, 'epoch': 0.09}
{'loss': 0.5535, 'learning_rate': 4.2964554242749735e-06, 'epoch': 0.09}
Step 400 - Original loss: 0.2302, Custom loss: 0.1855, Total loss: 0.4157
Step 400 - Original loss: 0.2384, Custom loss: 0.1738, Total loss: 0.4123
{'loss': 0.4416, 'learning_rate': 4.317937701396349e-06, 'epoch': 0.09}
{'loss': 0.454, 'learning_rate': 4.339419978517723e-06, 'epoch': 0.09}
{'loss': 0.5484, 'learning_rate': 4.360902255639098e-06, 'epoch': 0.09}
{'loss': 0.5093, 'learning_rate': 4.382384532760473e-06, 'epoch': 0.09}
{'loss': 0.4251, 'learning_rate': 4.403866809881847e-06, 'epoch': 0.09}
{'loss': 0.4511, 'learning_rate': 4.425349087003223e-06, 'epoch': 0.09}
{'loss': 0.4495, 'learning_rate': 4.446831364124598e-06, 'epoch': 0.09}
{'loss': 0.3724, 'learning_rate': 4.468313641245972e-06, 'epoch': 0.09}
{'loss': 0.4723, 'learning_rate': 4.489795918367348e-06, 'epoch': 0.09}
{'loss': 0.5795, 'learning_rate': 4.511278195488722e-06, 'epoch': 0.09}
{'loss': 0.4571, 'learning_rate': 4.532760472610097e-06, 'epoch': 0.09}
{'loss': 0.4108, 'learning_rate': 4.554242749731472e-06, 'epoch': 0.09}
{'loss': 0.5512, 'learning_rate': 4.575725026852847e-06, 'epoch': 0.09}
{'loss': 0.443, 'learning_rate': 4.5972073039742214e-06, 'epoch': 0.09}
{'loss': 0.4966, 'learning_rate': 4.618689581095597e-06, 'epoch': 0.09}
{'loss': 0.5059, 'learning_rate': 4.640171858216971e-06, 'epoch': 0.09}
{'loss': 0.5538, 'learning_rate': 4.661654135338346e-06, 'epoch': 0.09}
{'loss': 0.5811, 'learning_rate': 4.683136412459721e-06, 'epoch': 0.09}
{'loss': 0.4386, 'learning_rate': 4.704618689581096e-06, 'epoch': 0.09}
{'loss': 0.4878, 'learning_rate': 4.726100966702471e-06, 'epoch': 0.09}
{'loss': 0.4577, 'learning_rate': 4.747583243823846e-06, 'epoch': 0.09}
{'loss': 0.4203, 'learning_rate': 4.769065520945221e-06, 'epoch': 0.1}
{'loss': 0.5484, 'learning_rate': 4.7905477980665955e-06, 'epoch': 0.1}
{'loss': 0.5137, 'learning_rate': 4.81203007518797e-06, 'epoch': 0.1}
{'loss': 0.4259, 'learning_rate': 4.833512352309345e-06, 'epoch': 0.1}
{'loss': 0.5784, 'learning_rate': 4.85499462943072e-06, 'epoch': 0.1}
{'loss': 0.4801, 'learning_rate': 4.876476906552095e-06, 'epoch': 0.1}
{'loss': 0.489, 'learning_rate': 4.897959183673469e-06, 'epoch': 0.1}
{'loss': 0.4212, 'learning_rate': 4.919441460794845e-06, 'epoch': 0.1}
{'loss': 0.4337, 'learning_rate': 4.94092373791622e-06, 'epoch': 0.1}
{'loss': 0.4691, 'learning_rate': 4.962406015037594e-06, 'epoch': 0.1}
{'loss': 0.4963, 'learning_rate': 4.98388829215897e-06, 'epoch': 0.1}
{'loss': 0.5091, 'learning_rate': 5.005370569280345e-06, 'epoch': 0.1}
{'loss': 0.5467, 'learning_rate': 5.0268528464017184e-06, 'epoch': 0.1}
{'loss': 0.5261, 'learning_rate': 5.048335123523094e-06, 'epoch': 0.1}
{'loss': 0.4675, 'learning_rate': 5.069817400644469e-06, 'epoch': 0.1}
{'loss': 0.4331, 'learning_rate': 5.091299677765844e-06, 'epoch': 0.1}
{'loss': 0.4128, 'learning_rate': 5.112781954887218e-06, 'epoch': 0.1}
{'loss': 0.4696, 'learning_rate': 5.134264232008593e-06, 'epoch': 0.1}
{'loss': 0.4719, 'learning_rate': 5.155746509129968e-06, 'epoch': 0.1}
{'loss': 0.5516, 'learning_rate': 5.177228786251343e-06, 'epoch': 0.1}
{'loss': 0.4587, 'learning_rate': 5.198711063372718e-06, 'epoch': 0.1}
{'loss': 0.4719, 'learning_rate': 5.220193340494093e-06, 'epoch': 0.1}
{'loss': 0.4115, 'learning_rate': 5.241675617615468e-06, 'epoch': 0.1}
{'loss': 0.5726, 'learning_rate': 5.263157894736842e-06, 'epoch': 0.11}
{'loss': 0.4803, 'learning_rate': 5.2846401718582175e-06, 'epoch': 0.11}
{'loss': 0.4225, 'learning_rate': 5.306122448979593e-06, 'epoch': 0.11}
{'loss': 0.4873, 'learning_rate': 5.327604726100966e-06, 'epoch': 0.11}
{'loss': 0.5974, 'learning_rate': 5.349087003222342e-06, 'epoch': 0.11}
{'loss': 0.5771, 'learning_rate': 5.370569280343717e-06, 'epoch': 0.11}
Step 500 - Original loss: 0.3162, Custom loss: 0.1895, Total loss: 0.5056
Step 500 - Original loss: 0.2721, Custom loss: 0.1768, Total loss: 0.4489
{'loss': 0.5471, 'learning_rate': 5.392051557465092e-06, 'epoch': 0.11}
{'loss': 0.5764, 'learning_rate': 5.413533834586467e-06, 'epoch': 0.11}
{'loss': 0.6583, 'learning_rate': 5.435016111707842e-06, 'epoch': 0.11}
{'loss': 0.5053, 'learning_rate': 5.456498388829216e-06, 'epoch': 0.11}
{'loss': 0.5061, 'learning_rate': 5.477980665950591e-06, 'epoch': 0.11}
{'loss': 0.4966, 'learning_rate': 5.499462943071966e-06, 'epoch': 0.11}
{'loss': 0.5542, 'learning_rate': 5.520945220193341e-06, 'epoch': 0.11}
{'loss': 0.4872, 'learning_rate': 5.5424274973147166e-06, 'epoch': 0.11}
{'loss': 0.4963, 'learning_rate': 5.56390977443609e-06, 'epoch': 0.11}
{'loss': 0.3616, 'learning_rate': 5.585392051557465e-06, 'epoch': 0.11}
{'loss': 0.4945, 'learning_rate': 5.606874328678841e-06, 'epoch': 0.11}
{'loss': 0.4531, 'learning_rate': 5.628356605800215e-06, 'epoch': 0.11}
{'loss': 0.5376, 'learning_rate': 5.64983888292159e-06, 'epoch': 0.11}
{'loss': 0.4889, 'learning_rate': 5.671321160042965e-06, 'epoch': 0.11}
{'loss': 0.469, 'learning_rate': 5.69280343716434e-06, 'epoch': 0.11}
{'loss': 0.4855, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.11}
{'loss': 0.4651, 'learning_rate': 5.73576799140709e-06, 'epoch': 0.11}
{'loss': 0.4854, 'learning_rate': 5.757250268528465e-06, 'epoch': 0.12}
{'loss': 0.3531, 'learning_rate': 5.778732545649839e-06, 'epoch': 0.12}
{'loss': 0.4198, 'learning_rate': 5.800214822771214e-06, 'epoch': 0.12}
{'loss': 0.4345, 'learning_rate': 5.821697099892589e-06, 'epoch': 0.12}
{'loss': 0.4041, 'learning_rate': 5.8431793770139645e-06, 'epoch': 0.12}
{'loss': 0.4565, 'learning_rate': 5.864661654135339e-06, 'epoch': 0.12}
{'loss': 0.4967, 'learning_rate': 5.886143931256713e-06, 'epoch': 0.12}
{'loss': 0.4851, 'learning_rate': 5.907626208378089e-06, 'epoch': 0.12}
{'loss': 0.4287, 'learning_rate': 5.929108485499463e-06, 'epoch': 0.12}
{'loss': 0.3499, 'learning_rate': 5.950590762620838e-06, 'epoch': 0.12}
{'loss': 0.4575, 'learning_rate': 5.9720730397422136e-06, 'epoch': 0.12}
{'loss': 0.3994, 'learning_rate': 5.993555316863589e-06, 'epoch': 0.12}
{'loss': 0.5366, 'learning_rate': 6.015037593984962e-06, 'epoch': 0.12}
{'loss': 0.3619, 'learning_rate': 6.036519871106338e-06, 'epoch': 0.12}
{'loss': 0.4788, 'learning_rate': 6.058002148227713e-06, 'epoch': 0.12}
