{'loss': 0.5804, 'learning_rate': 4.2964554242749735e-06, 'epoch': 0.09}
Step 400 - Original loss: 0.1171, KL loss: 0.1475, MSE loss: 0.0320, Total loss: 0.2068
Step 400 - Original loss: 0.2360, KL loss: 0.1885, MSE loss: 0.0566, Total loss: 0.3585
{'loss': 0.3586, 'learning_rate': 4.317937701396349e-06, 'epoch': 0.09}
{'loss': 0.4003, 'learning_rate': 4.339419978517723e-06, 'epoch': 0.09}
{'loss': 0.4451, 'learning_rate': 4.360902255639098e-06, 'epoch': 0.09}
{'loss': 0.4417, 'learning_rate': 4.382384532760473e-06, 'epoch': 0.09}
{'loss': 0.4023, 'learning_rate': 4.403866809881847e-06, 'epoch': 0.09}
{'loss': 0.3923, 'learning_rate': 4.425349087003223e-06, 'epoch': 0.09}
{'loss': 0.4336, 'learning_rate': 4.446831364124598e-06, 'epoch': 0.09}
{'loss': 0.3829, 'learning_rate': 4.468313641245972e-06, 'epoch': 0.09}
{'loss': 0.366, 'learning_rate': 4.489795918367348e-06, 'epoch': 0.09}
{'loss': 0.4929, 'learning_rate': 4.511278195488722e-06, 'epoch': 0.09}
{'loss': 0.3917, 'learning_rate': 4.532760472610097e-06, 'epoch': 0.09}
{'loss': 0.4017, 'learning_rate': 4.554242749731472e-06, 'epoch': 0.09}
{'loss': 0.4809, 'learning_rate': 4.575725026852847e-06, 'epoch': 0.09}
{'loss': 0.4066, 'learning_rate': 4.5972073039742214e-06, 'epoch': 0.09}
{'loss': 0.4073, 'learning_rate': 4.618689581095597e-06, 'epoch': 0.09}
{'loss': 0.4971, 'learning_rate': 4.640171858216971e-06, 'epoch': 0.09}
{'loss': 0.4826, 'learning_rate': 4.661654135338346e-06, 'epoch': 0.09}
{'loss': 0.5615, 'learning_rate': 4.683136412459721e-06, 'epoch': 0.09}
{'loss': 0.4407, 'learning_rate': 4.704618689581096e-06, 'epoch': 0.09}
{'loss': 0.6168, 'learning_rate': 4.726100966702471e-06, 'epoch': 0.09}
{'loss': 0.4526, 'learning_rate': 4.747583243823846e-06, 'epoch': 0.09}
{'loss': 0.4651, 'learning_rate': 4.769065520945221e-06, 'epoch': 0.1}
{'loss': 0.5033, 'learning_rate': 4.7905477980665955e-06, 'epoch': 0.1}
