{'loss': 0.1675, 'learning_rate': 6.143931256713212e-06, 'epoch': 0.12}
{'loss': 0.1893, 'learning_rate': 6.165413533834587e-06, 'epoch': 0.12}
{'loss': 0.1852, 'learning_rate': 6.186895810955962e-06, 'epoch': 0.12}
{'loss': 0.1631, 'learning_rate': 6.208378088077337e-06, 'epoch': 0.12}
{'loss': 0.1705, 'learning_rate': 6.229860365198711e-06, 'epoch': 0.12}
{'loss': 0.1493, 'learning_rate': 6.251342642320086e-06, 'epoch': 0.13}
{'loss': 0.1628, 'learning_rate': 6.2728249194414615e-06, 'epoch': 0.13}
{'loss': 0.1265, 'learning_rate': 6.294307196562837e-06, 'epoch': 0.13}
{'loss': 0.1714, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.13}
{'loss': 0.161, 'learning_rate': 6.337271750805586e-06, 'epoch': 0.13}
{'loss': 0.1981, 'learning_rate': 6.358754027926961e-06, 'epoch': 0.13}
{'loss': 0.1508, 'learning_rate': 6.380236305048335e-06, 'epoch': 0.13}
{'loss': 0.1414, 'learning_rate': 6.401718582169711e-06, 'epoch': 0.13}
{'loss': 0.1811, 'learning_rate': 6.423200859291086e-06, 'epoch': 0.13}
{'loss': 0.1625, 'learning_rate': 6.44468313641246e-06, 'epoch': 0.13}
Step 600 - Original loss: 9.9226, Custom loss: 0.1992, Total loss: 0.1992
Step 600 - Original loss: 11.3132, Custom loss: 0.1963, Total loss: 0.1963
{'loss': 0.1569, 'learning_rate': 6.466165413533835e-06, 'epoch': 0.13}
{'loss': 0.2075, 'learning_rate': 6.48764769065521e-06, 'epoch': 0.13}
{'loss': 0.143, 'learning_rate': 6.509129967776585e-06, 'epoch': 0.13}
{'loss': 0.1755, 'learning_rate': 6.530612244897959e-06, 'epoch': 0.13}
{'loss': 0.1718, 'learning_rate': 6.552094522019334e-06, 'epoch': 0.13}
{'loss': 0.1867, 'learning_rate': 6.573576799140709e-06, 'epoch': 0.13}
{'loss': 0.1774, 'learning_rate': 6.595059076262085e-06, 'epoch': 0.13}
{'loss': 0.1619, 'learning_rate': 6.616541353383459e-06, 'epoch': 0.13}
{'loss': 0.1714, 'learning_rate': 6.638023630504834e-06, 'epoch': 0.13}
{'loss': 0.1847, 'learning_rate': 6.659505907626209e-06, 'epoch': 0.13}
