Step 400 - Original loss: 0.1514, KL loss: 0.1377, MSE loss: 0.0260, Total loss: 0.2332
Step 400 - Original loss: 0.3082, KL loss: 0.2334, MSE loss: 0.0571, Total loss: 0.4534
{'loss': 0.3484, 'learning_rate': 4.317937701396349e-06, 'epoch': 0.09}
{'loss': 0.3862, 'learning_rate': 4.339419978517723e-06, 'epoch': 0.09}
{'loss': 0.4897, 'learning_rate': 4.360902255639098e-06, 'epoch': 0.09}
{'loss': 0.4307, 'learning_rate': 4.382384532760473e-06, 'epoch': 0.09}
{'loss': 0.3693, 'learning_rate': 4.403866809881847e-06, 'epoch': 0.09}
{'loss': 0.4066, 'learning_rate': 4.425349087003223e-06, 'epoch': 0.09}
{'loss': 0.3767, 'learning_rate': 4.446831364124598e-06, 'epoch': 0.09}
{'loss': 0.3493, 'learning_rate': 4.468313641245972e-06, 'epoch': 0.09}
{'loss': 0.3888, 'learning_rate': 4.489795918367348e-06, 'epoch': 0.09}
{'loss': 0.4692, 'learning_rate': 4.511278195488722e-06, 'epoch': 0.09}
{'loss': 0.379, 'learning_rate': 4.532760472610097e-06, 'epoch': 0.09}
{'loss': 0.3629, 'learning_rate': 4.554242749731472e-06, 'epoch': 0.09}
{'loss': 0.4795, 'learning_rate': 4.575725026852847e-06, 'epoch': 0.09}
{'loss': 0.3572, 'learning_rate': 4.5972073039742214e-06, 'epoch': 0.09}
{'loss': 0.4246, 'learning_rate': 4.618689581095597e-06, 'epoch': 0.09}
{'loss': 0.4363, 'learning_rate': 4.640171858216971e-06, 'epoch': 0.09}
{'loss': 0.4596, 'learning_rate': 4.661654135338346e-06, 'epoch': 0.09}
{'loss': 0.4952, 'learning_rate': 4.683136412459721e-06, 'epoch': 0.09}
{'loss': 0.3719, 'learning_rate': 4.704618689581096e-06, 'epoch': 0.09}
{'loss': 0.4346, 'learning_rate': 4.726100966702471e-06, 'epoch': 0.09}
{'loss': 0.3969, 'learning_rate': 4.747583243823846e-06, 'epoch': 0.09}
{'loss': 0.3582, 'learning_rate': 4.769065520945221e-06, 'epoch': 0.1}
{'loss': 0.4671, 'learning_rate': 4.7905477980665955e-06, 'epoch': 0.1}
{'loss': 0.4901, 'learning_rate': 4.81203007518797e-06, 'epoch': 0.1}
{'loss': 0.3919, 'learning_rate': 4.833512352309345e-06, 'epoch': 0.1}
Step 450 - Original loss: 0.2356, KL loss: 0.2275, MSE loss: 0.0498, Total loss: 0.3743
Step 450 - Original loss: 0.3643, KL loss: 0.2578, MSE loss: 0.0806, Total loss: 0.5335
{'loss': 0.5008, 'learning_rate': 4.85499462943072e-06, 'epoch': 0.1}
{'loss': 0.4114, 'learning_rate': 4.876476906552095e-06, 'epoch': 0.1}
{'loss': 0.4375, 'learning_rate': 4.897959183673469e-06, 'epoch': 0.1}
{'loss': 0.3904, 'learning_rate': 4.919441460794845e-06, 'epoch': 0.1}
{'loss': 0.4054, 'learning_rate': 4.94092373791622e-06, 'epoch': 0.1}
{'loss': 0.4249, 'learning_rate': 4.962406015037594e-06, 'epoch': 0.1}
{'loss': 0.4256, 'learning_rate': 4.98388829215897e-06, 'epoch': 0.1}
{'loss': 0.4453, 'learning_rate': 5.005370569280345e-06, 'epoch': 0.1}
{'loss': 0.4743, 'learning_rate': 5.0268528464017184e-06, 'epoch': 0.1}
{'loss': 0.4749, 'learning_rate': 5.048335123523094e-06, 'epoch': 0.1}
{'loss': 0.4157, 'learning_rate': 5.069817400644469e-06, 'epoch': 0.1}
{'loss': 0.3722, 'learning_rate': 5.091299677765844e-06, 'epoch': 0.1}
{'loss': 0.359, 'learning_rate': 5.112781954887218e-06, 'epoch': 0.1}
{'loss': 0.4212, 'learning_rate': 5.134264232008593e-06, 'epoch': 0.1}
{'loss': 0.412, 'learning_rate': 5.155746509129968e-06, 'epoch': 0.1}
{'loss': 0.4768, 'learning_rate': 5.177228786251343e-06, 'epoch': 0.1}
{'loss': 0.3985, 'learning_rate': 5.198711063372718e-06, 'epoch': 0.1}
{'loss': 0.4243, 'learning_rate': 5.220193340494093e-06, 'epoch': 0.1}
{'loss': 0.3691, 'learning_rate': 5.241675617615468e-06, 'epoch': 0.1}
{'loss': 0.5156, 'learning_rate': 5.263157894736842e-06, 'epoch': 0.11}
{'loss': 0.4517, 'learning_rate': 5.2846401718582175e-06, 'epoch': 0.11}
{'loss': 0.373, 'learning_rate': 5.306122448979593e-06, 'epoch': 0.11}
{'loss': 0.4287, 'learning_rate': 5.327604726100966e-06, 'epoch': 0.11}
{'loss': 0.5168, 'learning_rate': 5.349087003222342e-06, 'epoch': 0.11}
