
  3%|▎         | 136/4654 [08:50<5:17:24,  4.22s/it]
{'loss': 0.4719, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
Step 164 - Original loss: 0.3541, Custom loss: 0.2715, Total loss: 0.4899
Step 164 - Original loss: 0.1670, Custom loss: 0.2021, Total loss: 0.2681
{'loss': 0.4664, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
Step 166 - Original loss: 0.4242, Custom loss: 0.3555, Total loss: 0.6019
Step 166 - Original loss: 0.4405, Custom loss: 0.4141, Total loss: 0.6476
{'loss': 0.577, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
Step 168 - Original loss: 0.3125, Custom loss: 0.2012, Total loss: 0.4131
Step 168 - Original loss: 0.2959, Custom loss: 0.1572, Total loss: 0.3745
{'loss': 0.5004, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
Step 170 - Original loss: 0.3347, Custom loss: 0.2891, Total loss: 0.4792
Step 170 - Original loss: 0.4016, Custom loss: 0.4219, Total loss: 0.6125
{'loss': 0.6376, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
Step 172 - Original loss: 0.3101, Custom loss: 0.2598, Total loss: 0.4400
Step 172 - Original loss: 0.3214, Custom loss: 0.3340, Total loss: 0.4884
{'loss': 0.6276, 'learning_rate': 1.8689581095596135e-06, 'epoch': 0.04}
Step 174 - Original loss: 0.3857, Custom loss: 0.3125, Total loss: 0.5419
Step 174 - Original loss: 0.3395, Custom loss: 0.2461, Total loss: 0.4626
{'loss': 0.5579, 'learning_rate': 1.8904403866809883e-06, 'epoch': 0.04}
Step 176 - Original loss: 0.3890, Custom loss: 0.2930, Total loss: 0.5354
Step 176 - Original loss: 0.4101, Custom loss: 0.4473, Total loss: 0.6338
{'loss': 0.5895, 'learning_rate': 1.9119226638023634e-06, 'epoch': 0.04}
Step 178 - Original loss: 0.1881, Custom loss: 0.1992, Total loss: 0.2877
Step 178 - Original loss: 0.4662, Custom loss: 0.2031, Total loss: 0.5678
{'loss': 0.395, 'learning_rate': 1.9334049409237383e-06, 'epoch': 0.04}
Step 180 - Original loss: 0.3984, Custom loss: 0.3867, Total loss: 0.5917
Step 180 - Original loss: 0.4550, Custom loss: 0.3320, Total loss: 0.6210
{'loss': 0.5081, 'learning_rate': 1.9548872180451127e-06, 'epoch': 0.04}
Step 182 - Original loss: 0.3479, Custom loss: 0.3027, Total loss: 0.4992
Step 182 - Original loss: 0.3313, Custom loss: 0.2637, Total loss: 0.4632
{'loss': 0.4603, 'learning_rate': 1.9763694951664875e-06, 'epoch': 0.04}
Step 184 - Original loss: 0.3816, Custom loss: 0.2812, Total loss: 0.5222
Step 184 - Original loss: 0.1887, Custom loss: 0.1650, Total loss: 0.2712
{'loss': 0.3565, 'learning_rate': 1.997851772287863e-06, 'epoch': 0.04}
Step 186 - Original loss: 0.3494, Custom loss: 0.5273, Total loss: 0.6130
Step 186 - Original loss: 0.3350, Custom loss: 0.2734, Total loss: 0.4718
{'loss': 0.5747, 'learning_rate': 2.0193340494092377e-06, 'epoch': 0.04}
Step 188 - Original loss: 0.5396, Custom loss: 0.5625, Total loss: 0.8209
Step 188 - Original loss: 0.3216, Custom loss: 0.1465, Total loss: 0.3948
{'loss': 0.476, 'learning_rate': 2.0408163265306125e-06, 'epoch': 0.04}
Step 190 - Original loss: 0.2752, Custom loss: 0.2520, Total loss: 0.4012
Step 190 - Original loss: 0.5160, Custom loss: 0.3691, Total loss: 0.7005
{'loss': 0.4783, 'learning_rate': 2.0622986036519874e-06, 'epoch': 0.04}
Step 192 - Original loss: 0.3643, Custom loss: 0.4590, Total loss: 0.5938
Step 192 - Original loss: 0.3417, Custom loss: 0.2559, Total loss: 0.4697
{'loss': 0.5079, 'learning_rate': 2.083780880773362e-06, 'epoch': 0.04}
Step 194 - Original loss: 0.3189, Custom loss: 0.3613, Total loss: 0.4995
Step 194 - Original loss: 0.4149, Custom loss: 0.2148, Total loss: 0.5223
{'loss': 0.4505, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.04}
Step 196 - Original loss: 0.2993, Custom loss: 0.2461, Total loss: 0.4223
Step 196 - Original loss: 0.3572, Custom loss: 0.2432, Total loss: 0.4788
{'loss': 0.5407, 'learning_rate': 2.126745435016112e-06, 'epoch': 0.04}
Step 198 - Original loss: 0.2974, Custom loss: 0.2578, Total loss: 0.4263
Step 198 - Original loss: 0.2995, Custom loss: 0.2236, Total loss: 0.4113
{'loss': 0.4415, 'learning_rate': 2.1482277121374868e-06, 'epoch': 0.04}
Step 200 - Original loss: 0.3650, Custom loss: 0.3770, Total loss: 0.5535
Step 200 - Original loss: 0.2776, Custom loss: 0.1299, Total loss: 0.3425
{'loss': 0.4174, 'learning_rate': 2.1697099892588616e-06, 'epoch': 0.04}
Step 202 - Original loss: 0.2271, Custom loss: 0.1611, Total loss: 0.3077
Step 202 - Original loss: 0.2618, Custom loss: 0.1157, Total loss: 0.3197
{'loss': 0.4618, 'learning_rate': 2.1911922663802365e-06, 'epoch': 0.04}
Step 204 - Original loss: 0.3299, Custom loss: 0.3477, Total loss: 0.5037
Step 204 - Original loss: 0.3435, Custom loss: 0.3301, Total loss: 0.5085
{'loss': 0.4806, 'learning_rate': 2.2126745435016113e-06, 'epoch': 0.04}
Step 206 - Original loss: 0.2986, Custom loss: 0.2812, Total loss: 0.4392
Step 206 - Original loss: 0.2143, Custom loss: 0.1797, Total loss: 0.3041
{'loss': 0.4004, 'learning_rate': 2.234156820622986e-06, 'epoch': 0.04}
Step 208 - Original loss: 0.2558, Custom loss: 0.0981, Total loss: 0.3049
Step 208 - Original loss: 0.2968, Custom loss: 0.2354, Total loss: 0.4145
{'loss': 0.5594, 'learning_rate': 2.255639097744361e-06, 'epoch': 0.05}
Step 210 - Original loss: 0.1618, Custom loss: 0.2363, Total loss: 0.2800
Step 210 - Original loss: 0.3047, Custom loss: 0.2021, Total loss: 0.4057
{'loss': 0.5088, 'learning_rate': 2.277121374865736e-06, 'epoch': 0.05}
Step 212 - Original loss: 0.4822, Custom loss: 0.2637, Total loss: 0.6141
Step 212 - Original loss: 0.4142, Custom loss: 0.4551, Total loss: 0.6417
{'loss': 0.4969, 'learning_rate': 2.2986036519871107e-06, 'epoch': 0.05}
Step 214 - Original loss: 0.3826, Custom loss: 0.3652, Total loss: 0.5652
Step 214 - Original loss: 0.3583, Custom loss: 0.3340, Total loss: 0.5253
{'loss': 0.45, 'learning_rate': 2.3200859291084856e-06, 'epoch': 0.05}
Step 216 - Original loss: 0.2792, Custom loss: 0.3047, Total loss: 0.4315
Step 216 - Original loss: 0.4738, Custom loss: 0.4336, Total loss: 0.6906
{'loss': 0.4571, 'learning_rate': 2.3415682062298604e-06, 'epoch': 0.05}
Step 218 - Original loss: 0.3104, Custom loss: 0.2256, Total loss: 0.4232
Step 218 - Original loss: 0.1882, Custom loss: 0.1787, Total loss: 0.2775
{'loss': 0.4687, 'learning_rate': 2.3630504833512357e-06, 'epoch': 0.05}
Step 220 - Original loss: 0.4625, Custom loss: 0.4004, Total loss: 0.6627
Step 220 - Original loss: 0.2648, Custom loss: 0.2305, Total loss: 0.3800
{'loss': 0.4467, 'learning_rate': 2.3845327604726105e-06, 'epoch': 0.05}
Step 222 - Original loss: 0.2646, Custom loss: 0.2266, Total loss: 0.3779
Step 222 - Original loss: 0.2046, Custom loss: 0.1689, Total loss: 0.2891
{'loss': 0.4503, 'learning_rate': 2.406015037593985e-06, 'epoch': 0.05}
