W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with random sampled 50 triples, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 119.1s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 57.7s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 3.802248436660951e-08, Accum Loss: 1.1314510703086853
Lr: 3.819570753001092e-08, Accum Loss: 1.801038384437561
Lr: 3.836893069341233e-08, Accum Loss: 2.2010385394096375
Lr: 3.854215385681374e-08, Accum Loss: 1.4515641927719116
Lr: 3.871537702021515e-08, Accum Loss: 2.1241809725761414
Lr: 3.8888600183616556e-08, Accum Loss: 2.5981867909431458
Lr: 3.9061823347017966e-08, Accum Loss: 1.3534525036811829
Lr: 3.923504651041937e-08, Accum Loss: 1.2185838222503662
Lr: 3.940826967382079e-08, Accum Loss: 1.5781153440475464
Lr: 3.95814928372222e-08, Accum Loss: 1.8752427995204926
Lr: 3.9754716000623605e-08, Accum Loss: 1.4816527962684631
Lr: 3.9927939164025014e-08, Accum Loss: 1.1794062852859497
Lr: 4.0101162327426424e-08, Accum Loss: 2.0913383662700653
Lr: 4.0274385490827834e-08, Accum Loss: 1.498441219329834
Lr: 4.044760865422924e-08, Accum Loss: 1.3814485371112823
Lr: 4.062083181763066e-08, Accum Loss: 1.871824324131012
Lr: 4.079405498103207e-08, Accum Loss: 1.5553011298179626
Lr: 4.096727814443348e-08, Accum Loss: 2.1836209893226624
Lr: 4.114050130783489e-08, Accum Loss: 1.9194138646125793
Lr: 4.13137244712363e-08, Accum Loss: 1.1698158383369446
Lr: 4.148694763463771e-08, Accum Loss: 2.232807993888855
Lr: 4.166017079803911e-08, Accum Loss: 2.107872784137726
Lr: 4.1833393961440534e-08, Accum Loss: 1.328576773405075
Lr: 4.2006617124841943e-08, Accum Loss: 2.0957852005958557
Lr: 4.2179840288243346e-08, Accum Loss: 1.5541361570358276
Lr: 4.2353063451644756e-08, Accum Loss: 1.5545672178268433
Lr: 4.2526286615046166e-08, Accum Loss: 2.2236703634262085
Lr: 4.2699509778447575e-08, Accum Loss: 2.1792315244674683
Lr: 4.2872732941848985e-08, Accum Loss: 0.9867039024829865
Lr: 4.3045956105250395e-08, Accum Loss: 1.7419993877410889
Lr: 4.321917926865181e-08, Accum Loss: 1.1370652616024017
Lr: 4.339240243205322e-08, Accum Loss: 2.3314603567123413
Lr: 4.356562559545463e-08, Accum Loss: 1.957171082496643
Lr: 4.373884875885604e-08, Accum Loss: 1.3405629098415375
Lr: 4.391207192225745e-08, Accum Loss: 1.5522902607917786
Lr: 4.408529508565885e-08, Accum Loss: 1.5576265454292297
Lr: 4.425851824906026e-08, Accum Loss: 1.893681287765503
Lr: 4.443174141246168e-08, Accum Loss: 2.1578528881073
Lr: 4.460496457586309e-08, Accum Loss: 1.8527237176895142
Lr: 4.47781877392645e-08, Accum Loss: 1.5054669976234436
Lr: 4.495141090266591e-08, Accum Loss: 2.0456144213676453
Lr: 4.512463406606732e-08, Accum Loss: 2.895087242126465
Lr: 4.529785722946873e-08, Accum Loss: 1.3848063051700592
Lr: 4.5471080392870136e-08, Accum Loss: 1.8845300078392029
Lr: 4.564430355627155e-08, Accum Loss: 1.7329936027526855
Lr: 4.581752671967296e-08, Accum Loss: 1.4446369409561157
Lr: 4.599074988307437e-08, Accum Loss: 1.7950364649295807
Lr: 4.616397304647578e-08, Accum Loss: 1.9795429110527039
Lr: 4.6337196209877185e-08, Accum Loss: 1.4235692620277405
Lr: 4.6510419373278594e-08, Accum Loss: 1.4762287735939026
Lr: 4.6683642536680004e-08, Accum Loss: 2.202067792415619
Lr: 4.685686570008142e-08, Accum Loss: 1.6718315184116364
Lr: 4.703008886348283e-08, Accum Loss: 2.7146973609924316
Lr: 4.720331202688424e-08, Accum Loss: 0.9921867847442627
Lr: 4.737653519028565e-08, Accum Loss: 1.1136095523834229
Lr: 4.754975835368706e-08, Accum Loss: 0.9814179539680481
Lr: 4.772298151708847e-08, Accum Loss: 1.9446229338645935
Lr: 4.789620468048988e-08, Accum Loss: 1.409147948026657
Lr: 4.806942784389129e-08, Accum Loss: 1.8395286202430725
Lr: 4.8242651007292704e-08, Accum Loss: 2.304301679134369
Lr: 4.8415874170694114e-08, Accum Loss: 2.1666568517684937
Lr: 4.8589097334095523e-08, Accum Loss: 1.4019449949264526
Lr: 4.8762320497496926e-08, Accum Loss: 2.2804296612739563
Lr: 4.8935543660898336e-08, Accum Loss: 2.3650574684143066
Lr: 4.9108766824299746e-08, Accum Loss: 1.2372942566871643
Lr: 4.9281989987701155e-08, Accum Loss: 2.087567389011383
Lr: 4.945521315110257e-08, Accum Loss: 2.1570003032684326
Lr: 4.962843631450398e-08, Accum Loss: 1.8542850017547607
Lr: 4.980165947790539e-08, Accum Loss: 1.2175219655036926
Lr: 4.99748826413068e-08, Accum Loss: 1.3006078004837036
Lr: 5.014810580470821e-08, Accum Loss: 2.1126063466072083
Lr: 5.032132896810962e-08, Accum Loss: 1.8584925532341003
Lr: 5.049455213151103e-08, Accum Loss: 1.7170990109443665
Lr: 5.0667775294912446e-08, Accum Loss: 1.4960857629776
Lr: 5.0840998458313855e-08, Accum Loss: 2.356325924396515
Lr: 5.101422162171526e-08, Accum Loss: 1.3680459856987
Lr: 5.118744478511667e-08, Accum Loss: 1.510633647441864
Lr: 5.136066794851808e-08, Accum Loss: 1.522600531578064
Lr: 5.153389111191949e-08, Accum Loss: 1.3955493569374084
Lr: 5.17071142753209e-08, Accum Loss: 1.0323882400989532
Lr: 5.188033743872231e-08, Accum Loss: 2.20515638589859
Lr: 5.205356060212372e-08, Accum Loss: 2.301690459251404
Lr: 5.222678376552513e-08, Accum Loss: 2.4600928127765656
Lr: 5.240000692892654e-08, Accum Loss: 2.7719520330429077
Lr: 5.257323009232795e-08, Accum Loss: 2.1558159589767456
Lr: 5.274645325572936e-08, Accum Loss: 2.5502980947494507
Lr: 5.2919676419130765e-08, Accum Loss: 1.8221242427825928
Lr: 5.3092899582532174e-08, Accum Loss: 1.6247162818908691
Lr: 5.32661227459336e-08, Accum Loss: 1.8730862736701965
Lr: 5.3439345909335e-08, Accum Loss: 1.6861475706100464
Lr: 5.361256907273641e-08, Accum Loss: 2.69389271736145
