W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 40.2s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 24.6s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 3.552264434427989e-07, Accum Loss: 1.3593726754188538
Lr: 3.573728267868642e-07, Accum Loss: 1.2785808444023132
Lr: 3.5951921013092945e-07, Accum Loss: 1.4150503277778625
Lr: 3.616655934749946e-07, Accum Loss: 1.3158636689186096
Lr: 3.638119768190599e-07, Accum Loss: 1.2225211262702942
Lr: 3.6595836016312516e-07, Accum Loss: 1.21200829744339
Lr: 3.6810474350719043e-07, Accum Loss: 1.3621391654014587
Lr: 3.702511268512557e-07, Accum Loss: 1.3203822374343872
Lr: 3.7239751019532087e-07, Accum Loss: 1.383128821849823
Lr: 3.7454389353938614e-07, Accum Loss: 1.291000247001648
Lr: 3.766902768834514e-07, Accum Loss: 1.2503684759140015
Lr: 3.788366602275167e-07, Accum Loss: 1.2646587491035461
Lr: 3.8098304357158195e-07, Accum Loss: 1.3443183898925781
Lr: 3.831294269156471e-07, Accum Loss: 1.3556422591209412
Lr: 3.852758102597124e-07, Accum Loss: 1.246847689151764
Lr: 3.8742219360377766e-07, Accum Loss: 1.258523166179657
Lr: 3.8956857694784293e-07, Accum Loss: 1.4287497401237488
Lr: 3.917149602919082e-07, Accum Loss: 1.2553597688674927
Lr: 3.938613436359734e-07, Accum Loss: 1.2333055138587952
Lr: 3.9600772698003863e-07, Accum Loss: 1.2365949749946594
Lr: 3.981541103241039e-07, Accum Loss: 1.2241650223731995
Lr: 4.003004936681692e-07, Accum Loss: 1.1797580122947693
Lr: 4.0244687701223445e-07, Accum Loss: 1.336975634098053
Lr: 4.0459326035629966e-07, Accum Loss: 1.3471710681915283
Lr: 4.0673964370036493e-07, Accum Loss: 1.2691906094551086
Lr: 4.0888602704443015e-07, Accum Loss: 1.2640972137451172
Lr: 4.110324103884954e-07, Accum Loss: 1.2665175199508667
Lr: 4.131787937325607e-07, Accum Loss: 1.1813339591026306
Lr: 4.153251770766259e-07, Accum Loss: 1.2294633984565735
Lr: 4.174715604206912e-07, Accum Loss: 1.1446553468704224
Lr: 4.196179437647564e-07, Accum Loss: 1.2645084857940674
Lr: 4.2176432710882167e-07, Accum Loss: 1.179587721824646
Lr: 4.2391071045288694e-07, Accum Loss: 1.1746479868888855
Lr: 4.2605709379695216e-07, Accum Loss: 1.2503356337547302
Lr: 4.2820347714101743e-07, Accum Loss: 1.2836472392082214
Lr: 4.303498604850827e-07, Accum Loss: 1.2083603143692017
Lr: 4.324962438291479e-07, Accum Loss: 1.2057456374168396
Lr: 4.346426271732132e-07, Accum Loss: 1.3200674653053284
Lr: 4.367890105172784e-07, Accum Loss: 1.275471270084381
Lr: 4.389353938613437e-07, Accum Loss: 1.2406856417655945
Lr: 4.4108177720540895e-07, Accum Loss: 1.3427083492279053
Lr: 4.432281605494742e-07, Accum Loss: 1.3829185366630554
Lr: 4.4537454389353944e-07, Accum Loss: 1.1824003458023071
Lr: 4.4752092723760465e-07, Accum Loss: 1.2069352865219116
Lr: 4.496673105816699e-07, Accum Loss: 1.2576890587806702
Lr: 4.518136939257352e-07, Accum Loss: 1.2129019498825073
Lr: 4.5396007726980047e-07, Accum Loss: 1.182698667049408
Lr: 4.5610646061386563e-07, Accum Loss: 1.226259469985962
Lr: 4.582528439579309e-07, Accum Loss: 1.1817846894264221
Lr: 4.6039922730199617e-07, Accum Loss: 1.0984777808189392
Lr: 4.6254561064606144e-07, Accum Loss: 1.2470489144325256
Lr: 4.646919939901267e-07, Accum Loss: 1.1864339709281921
Lr: 4.668383773341919e-07, Accum Loss: 1.3233236074447632
Lr: 4.6898476067825715e-07, Accum Loss: 1.2561979293823242
